timestamp,day,time,download_mbps,upload_mbps,packet_loss,isp,server_host,server_location,result_url
2023-04-10T23:07:08.000Z,Monday,19:07:08,198.51,153.32,0,Verizon Fios,speedtest1.nyc1.nitelusa.net,New York NY,https://www.speedtest.net/result/c/1f5ff738-c9e9-444f-9650-2940d61c45e9
2023-04-10T23:12:00.000Z,Monday,19:12:00,206.06,195.63,,Verizon Fios,speedtestus.pvdatanet.com,New York NY,https://www.speedtest.net/result/c/3bed2278-cc39-4a61-9416-c0f158bf93e1
2023-04-10T23:16:57.000Z,Monday,19:16:57,265.08,179.82,,Verizon Fios,speedtestus.pvdatanet.com,New York NY,https://www.speedtest.net/result/c/73898ce6-a4b5-48e9-b059-4689d6a83531
2023-04-10T23:22:03.000Z,Monday,19:22:03,181.49,145.87,0.917431193,Verizon Fios,speedgauge2.optonline.net,New York NY,https://www.speedtest.net/result/c/4fc0a000-2e20-45ea-b8e8-621a7054a359
2023-04-10T23:27:03.000Z,Monday,19:27:03,196.59,192.9,0,Verizon Fios,speedtest.surfshark.com,New York NY,https://www.speedtest.net/result/c/299784ab-9fbb-4bac-902a-e47976af743b
2023-04-10T23:32:01.000Z,Monday,19:32:01,225.91,185.03,,Verizon Fios,speedtestus.pvdatanet.com,New York NY,https://www.speedtest.net/result/c/e907cf6c-31af-4912-957e-946cae6f4cd5
2023-04-10T23:37:09.000Z,Monday,19:37:09,236.9,195.24,0,Verizon Fios,nyc1-speedtest.webnx.com,New York NY,https://www.speedtest.net/result/c/e3b8d75c-41d4-4f5b-9366-4343631975cc
2023-04-10T23:42:09.000Z,Monday,19:42:09,170.03,95.98,0,Verizon Fios,speedgauge2.optonline.net,New York NY,https://www.speedtest.net/result/c/f2e12b28-ca67-415c-af3e-6224b58fd18f
2023-04-10T23:47:08.000Z,Monday,19:47:08,158.39,111.32,0,Verizon Fios,nyc1-speedtest.webnx.com,New York NY,https://www.speedtest.net/result/c/57dea45a-5512-4a33-bdad-49c4c01d6a81
2023-04-10T23:52:04.000Z,Monday,19:52:04,160.32,173.44,0,Verizon Fios,speedgauge2.optonline.net,New York NY,https://www.speedtest.net/result/c/02aa0a8e-d2f9-4b81-94af-cc8573b7c2c3
2023-04-10T23:56:58.000Z,Monday,19:56:58,165.11,173.38,0,Verizon Fios,speedtest1.nyc1.nitelusa.net,New York NY,https://www.speedtest.net/result/c/10bc63d2-4943-43a3-b317-9f0bee3e3838
2023-04-11T00:02:03.000Z,Monday,20:02:03,181.61,141.82,0,Verizon Fios,speedgauge2.optonline.net,New York NY,https://www.speedtest.net/result/c/310a8e68-db42-4711-a81e-23ca6b8fc87e
2023-04-11T00:07:06.000Z,Monday,20:07:06,184.34,169.18,0,Verizon Fios,nyc1-speedtest.webnx.com,New York NY,https://www.speedtest.net/result/c/cea43f11-42b3-482a-baee-6b806a12fdc8
2023-04-11T00:12:04.000Z,Monday,20:12:04,152.16,102.47,0,Verizon Fios,speedtest1.nyc1.nitelusa.net,New York NY,https://www.speedtest.net/result/c/e10e2a7b-a3a6-46f9-bd39-30150a333721
2023-04-11T00:17:01.000Z,Monday,20:17:01,279.55,186.77,0,Verizon Fios,ny2.speedtest.gslnetworks.com,New York NY,https://www.speedtest.net/result/c/fc37ea05-dc5d-4058-b01b-b20a3788b43e
2023-04-11T00:22:13.000Z,Monday,20:22:13,204.81,56.94,0,Verizon Fios,speedtestnyc.telebermuda.com,New York NY,https://www.speedtest.net/result/c/a383b614-c64f-4cc3-a74e-1487ea806b21
2023-04-11T00:27:11.000Z,Monday,20:27:11,211.26,105.66,,Verizon Fios,speedtestus.pvdatanet.com,New York NY,https://www.speedtest.net/result/c/39041b11-21c5-4cc2-83aa-cda3fb5747b4
2023-04-11T00:32:01.000Z,Monday,20:32:01,159.67,147.33,0,Verizon Fios,speedtest.nyc.rr.com,New York NY,https://www.speedtest.net/result/c/57cfd9c0-d53a-4e27-9072-8d232e6ef85b
2023-04-11T00:37:04.000Z,Monday,20:37:04,160.63,100.52,0,Verizon Fios,speedtest1.nyc1.nitelusa.net,New York NY,https://www.speedtest.net/result/c/846ce738-7760-42d3-98cc-13ef9094cfe3
2023-04-11T00:41:58.000Z,Monday,20:41:58,163.98,106.94,0,Verizon Fios,nyc1-speedtest.webnx.com,New York NY,https://www.speedtest.net/result/c/4c0b98cf-5d0f-4d05-ab02-ab87ca4884f0
2023-04-11T00:50:48.000Z,Monday,20:50:48,171.24,116.08,0,Verizon Fios,speedgauge2.optonline.net,New York NY,https://www.speedtest.net/result/c/0d1370dd-f4d3-4330-9761-f6ee22d57108
2023-04-11T00:57:15.000Z,Monday,20:57:15,143.55,30.66,0,Verizon Fios,speedtestnyc.telebermuda.com,New York NY,https://www.speedtest.net/result/c/011b45c4-d26d-428d-8ab6-c18a16351405
2023-04-11T01:02:21.000Z,Monday,21:2:21,280.10,124.88,0.7067137809187279,Verizon Fios,ny2.speedtest.gslnetworks.com,New York NY,https://www.speedtest.net/result/c/ad77ebd0-3b98-48e7-9674-0f4fc83a871a
2023-04-11T12:27:28.000Z,Tuesday,8:27:28,188.13,173.00,0,Verizon Fios,nyc1-speedtest.webnx.com,New York NY,https://www.speedtest.net/result/c/b6f792c3-a3f5-4276-b3a2-28d2db589f21
